gene_id,c1,c2,c3,cd1,cd2,cu1,cu2
NIS_RS05840,1398,387,921,76,103,845,530
NIS_RS05845,388,172,269,47,45,305,102
NIS_RS05850,1810,768,1451,515,435,1420,553
NIS_RS05855,471,212,316,87,103,294,161
NIS_RS05860,988,377,729,193,95,359,171
NIS_RS05865,1555,511,770,189,196,343,175
NIS_RS05870,2057,720,1435,460,392,1122,558
NIS_RS05875,1119,439,1045,501,407,843,252
NIS_RS05880,3974,1979,4224,2498,2024,2309,1141
NIS_RS10275,362,426,489,536,424,172,85
NIS_RS05885,283,123,130,27,61,308,108
NIS_RS05890,886,253,650,143,146,937,371
NIS_RS05895,2307,769,2275,437,416,1579,424
NIS_RS05900,1889,867,2501,726,574,1196,468
NIS_RS05905,182,107,235,44,63,63,72
NIS_RS05910,456,141,486,119,73,110,73
NIS_RS05915,2907,893,3345,787,707,1945,625
NIS_RS05920,1515,270,614,143,126,489,249
NIS_RS05925,1952,628,1515,518,422,821,500
NIS_RS05930,2478,545,1010,149,109,875,487
NIS_RS05935,970,222,388,62,76,380,171
NIS_RS05940,720,155,159,41,35,190,146
NIS_RS05945,500,133,141,13,19,69,29
NIS_RS05950,497,132,287,130,116,261,68
NIS_RS05955,2197,2578,4418,4876,3951,3527,997
NIS_RS05960,1143,450,1230,528,501,452,160
NIS_RS05965,484,178,415,156,130,189,179
NIS_RS05970,3206,1013,2809,793,665,2243,1398
NIS_RS05975,1671,1008,1255,219,146,1326,1140
NIS_RS05980,18734,13469,16916,2663,2038,19081,10581
NIS_RS05985,7006,4665,6636,1513,1296,7434,5915
NIS_RS05990,33351,23093,44914,8694,6834,22528,13759
NIS_RS05995,10975,3874,10554,2100,1910,6615,2981
NIS_RS06000,1641,357,688,54,83,690,271
NIS_RS06005,517,87,164,27,19,91,25
NIS_RS06010,825,164,438,168,164,768,169
NIS_RS06015,4595,1716,3588,2235,1954,5960,2175
NIS_RS06020,12166,11209,16467,18063,14373,56242,30134
NIS_RS06025,1161,701,1342,2518,1787,2231,1750
NIS_RS06030,3308,1391,3099,5594,5280,1782,2266
NIS_RS06035,11497,4278,11536,5490,3930,2516,2380
NIS_RS06040,108,59,85,15,29,219,61
NIS_RS06045,6375,6800,18942,3978,3166,4446,2009
NIS_RS06050,4064,3548,11430,1393,1167,1898,544
NIS_RS06055,2948,949,2085,1624,1293,1185,578
NIS_RS06060,1044,405,665,550,508,458,195
NIS_RS06065,1412,380,591,293,239,1794,675
NIS_RS06070,717,202,252,116,103,870,283
NIS_RS06075,1051,240,375,156,138,1299,452
NIS_RS06080,5526,1625,2991,1029,812,4687,2279
NIS_RS06085,2009,308,663,498,482,551,326
NIS_RS06090,1131,116,210,217,176,241,69
NIS_RS06095,1682,267,412,167,133,2005,607
NIS_RS06100,1564,269,442,202,164,3047,639
NIS_RS06105,1575,234,545,153,146,1862,331
NIS_RS06110,3415,638,1502,643,574,3034,552
NIS_RS06115,5715,1610,3356,2528,1863,7742,3219
NIS_RS06120,2299,1010,2540,1197,909,1590,884
NIS_RS06125,785,245,692,269,208,389,145
NIS_RS06130,5368,1991,6785,1235,1133,4054,2330
NIS_RS06135,6716,2986,7484,2649,2216,3697,1737
NIS_RS06140,4556,1831,4808,1464,1111,3080,1302
NIS_RS06145,1380,370,967,259,180,1024,590
NIS_RS06150,2045,797,1627,534,526,743,333
NIS_RS06155,527,134,409,102,56,171,63
NIS_RS06160,2120,472,1321,288,251,680,410
NIS_RS06165,2298,835,1750,444,342,1171,580
NIS_RS06170,5904,3074,9098,2171,1627,3850,2155
NIS_RS06175,3422,780,1960,1064,788,2511,2452
NIS_RS06180,1921,813,1585,731,653,2404,1208
NIS_RS06185,984,442,811,326,324,1395,557
NIS_RS06190,2251,1367,2287,704,664,1757,861
NIS_RS06195,882,590,965,575,552,530,260
NIS_RS06200,2024,624,767,543,431,1617,1575
NIS_RS06205,327,71,124,40,28,193,136
NIS_RS06210,182,51,58,15,20,158,152
NIS_RS06215,1801,524,1335,406,402,1137,499
NIS_RS06220,5288,1496,4522,1047,795,8149,3376
NIS_RS06225,37571,16097,43867,11648,9318,37248,31280
NIS_RS06230,4827,2037,7056,2405,1870,5588,3236
NIS_RS06235,893,272,678,111,87,380,153
NIS_RS06240,14536,6950,19663,9292,7018,21554,9559
NIS_RS06245,9759,3898,13626,3456,2738,11235,7013
NIS_RS06250,9897,2985,8874,2866,2479,8721,5995
NIS_RS06255,7000,2228,4602,3031,2421,6676,2609
NIS_RS06260,1427,301,602,495,392,1448,427
NIS_RS06265,1763,448,890,602,503,1936,881
NIS_RS06270,2246,492,875,640,543,903,306
NIS_RS06275,1714,502,956,458,386,990,362
NIS_RS06280,6070,1388,3584,1880,1666,6172,3442
NIS_RS06285,3857,1209,3137,2056,1845,2813,1593
NIS_RS06290,4703,2130,5927,2381,2052,2063,1190
NIS_RS06295,5817,1459,6601,1147,1125,4353,3381
NIS_RS06300,2350,468,2012,180,185,667,461
NIS_RS06305,4255,583,1561,211,176,1761,1849
NIS_RS06310,5356,1076,1273,345,267,3529,4541
NIS_RS06315,1512,511,1086,786,662,991,402
NIS_RS06320,3266,872,2016,643,591,1575,619
NIS_RS06325,1064,259,543,98,64,728,241
NIS_RS10045,1411,606,953,605,483,2238,424
NIS_RS06335,1993,737,1572,1124,879,2979,668
NIS_RS06340,1875,481,1282,381,279,1865,595
NIS_RS06345,10669,4104,14014,3801,3139,14560,6610
NIS_RS06350,5058,2187,6203,3039,2174,1677,1351
NIS_RS06355,7926,3054,11337,2166,1956,5127,2929
NIS_RS06360,35871,11075,31415,3360,3034,21983,12422
NIS_RS06365,4275,1391,3656,1216,1201,3833,1927
NIS_RS06370,1281,381,1039,495,436,335,201
